demand_change,staff,price_change,inventory_level,base_wait_time_minutes,base_revenue_per_day,base_stockout_risk,base_staff_utilisation,baseline_staff_count,wait_time,revenue,staff_utilisation,inventory_usage
-40,14,-10,65,11,1077,16,66,4,3,600,11,6
-50,3,30,0,24,1821,27,59,8,24,1242,80,19
-10,13,0,5,21,5719,22,51,12,19,5009,40,27
20,10,20,5,25,2896,19,83,12,35,4261,100,31
-50,6,20,25,22,4494,57,55,11,17,2781,51,30
40,12,-30,20,21,5448,29,70,6,18,5109,48,47
-40,3,-20,85,11,1443,63,65,6,11,700,79,14
-40,13,20,10,24,756,39,63,9,11,520,26,30
25,10,30,60,24,3477,75,72,4,17,5878,34,63
45,9,5,45,13,3313,34,82,5,12,5201,66,41
25,7,10,60,27,2789,24,63,6,31,3949,68,21
-25,1,5,90,19,4152,68,73,9,66,3234,98,17
-40,8,15,5,23,4185,38,67,4,8,2837,21,33
-25,17,-30,90,23,4047,11,84,4,6,2055,15,3
35,6,-30,0,28,4569,72,83,6,39,4513,100,97
30,2,5,55,14,3508,28,64,4,31,4943,100,27
5,13,5,55,10,1639,18,61,4,5,1736,21,14
15,14,0,85,26,1127,76,84,11,24,1295,75,33
20,11,-15,70,16,2967,19,52,4,9,2910,24,13
-25,12,-30,70,11,1217,27,75,9,7,630,41,11
-40,17,-20,10,10,2106,30,70,10,4,983,25,22
45,8,-20,15,12,4647,31,85,4,11,5571,63,56
-10,19,-30,65,20,4300,80,82,12,13,2839,46,44
-30,2,30,50,10,4288,41,57,11,23,3779,100,24
0,12,-5,15,11,3009,16,71,8,8,2911,46,19
45,3,-15,10,13,4757,12,73,12,52,5903,97,22
-30,12,-30,25,16,4616,78,51,9,9,2171,27,58
5,1,15,45,18,5791,79,77,8,78,7258,100,70
20,12,-10,25,18,5942,79,67,8,16,6100,52,95
-35,18,0,90,16,1754,64,50,7,5,1175,13,12
15,10,-15,10,25,3397,59,85,6,21,3158,60,83
45,6,-25,80,19,2290,72,83,8,35,2494,100,46
-35,10,-10,5,22,5819,10,58,10,13,3550,39,9
-25,20,-10,100,8,2324,23,72,3,2,1578,8,3
15,11,25,70,21,3125,38,52,7,18,4513,40,25
5,19,15,85,9,1904,56,69,9,6,2381,34,21
-5,4,30,0,21,4251,58,82,7,29,5097,96,77
-30,1,25,60,15,3114,20,53,9,47,2630,95,10
-30,4,15,0,26,2603,71,53,3,15,2079,29,68
40,18,-20,0,18,1251,79,52,5,10,1406,21,100
-20,11,-30,95,8,4304,66,71,12,7,2332,64,14
-45,4,-10,20,16,3222,55,57,6,12,1565,49,35
25,16,25,45,21,1599,51,57,4,10,2462,18,56
50,14,-30,95,26,3617,68,66,8,26,3684,59,27
50,18,20,100,9,3203,23,78,10,9,5953,64,7
-15,15,30,85,21,4306,57,57,9,12,4954,28,18
20,14,-5,70,24,849,35,85,6,15,929,45,25
5,8,5,0,22,4336,71,84,11,30,4602,100,100
-10,3,20,35,18,1922,59,53,3,16,2096,48,49
30,15,10,70,14,1893,33,56,11,15,2606,56,24
-50,7,-25,40,11,844,39,78,3,3,329,17,17
-50,6,25,75,20,2272,52,75,8,12,1402,51,13
50,14,25,65,28,1011,12,72,12,36,1916,90,12
20,9,-15,70,26,3160,77,54,7,25,3318,50,53
20,3,15,85,21,5498,18,55,6,42,7339,100,8
50,11,15,25,8,5254,48,57,3,5,9389,23,78
-10,7,-5,60,11,3416,19,54,5,8,2829,35,12
-35,8,-15,30,28,1044,68,56,7,17,564,32,46
35,12,25,5,13,4961,60,75,5,10,8700,42,100
-20,4,15,55,9,2206,71,78,5,8,2122,77,42
0,12,20,80,24,967,13,76,10,22,1172,61,6
30,8,15,10,16,3130,15,51,10,24,4753,79,25
-15,12,-25,50,13,5519,49,54,10,10,3495,39,31
-15,13,-30,95,22,2573,26,84,4,8,1501,21,6
-25,15,-5,55,11,5002,60,81,12,7,3434,48,33
0,4,-25,45,25,3645,80,54,11,51,2642,99,68
-20,12,10,15,28,2380,31,50,9,19,2058,30,31
-45,19,-15,40,9,3530,63,63,12,4,1659,23,33
-20,16,5,95,26,4841,27,58,11,16,4010,31,6
-25,9,-20,40,14,4196,56,61,9,11,2610,47,40
-50,17,0,25,25,4631,52,51,5,5,2281,8,30
-5,10,25,40,16,3332,30,79,3,7,3967,24,25
20,17,-25,50,28,853,29,57,5,14,799,21,28
30,2,-25,40,12,5321,61,50,7,37,5055,97,71
30,9,-5,100,8,1567,56,55,11,12,1996,83,14
15,17,30,10,14,4636,22,65,3,5,6742,13,31
40,3,-10,100,19,3351,20,74,11,64,4078,100,6
30,17,-15,30,26,1643,79,83,5,15,1864,31,98
-30,2,-30,10,28,1166,34,80,10,63,573,96,30
15,18,5,35,21,893,50,54,6,11,1065,20,58
-25,20,-25,60,9,648,13,78,6,3,383,18,7
15,16,-20,0,12,3861,68,84,12,11,3451,73,100
25,11,20,100,10,1343,53,85,6,8,2068,56,12
-30,2,10,20,14,3295,60,69,10,30,2582,100,48
25,12,-10,70,21,1073,72,60,10,24,1202,63,51
50,7,-10,70,18,2601,69,76,5,22,3552,83,59
5,1,-10,25,8,4231,33,84,7,32,4101,100,39
-30,5,20,35,22,1825,79,85,7,19,1587,81,54
10,17,-30,5,21,2837,52,61,5,10,2100,19,76
0,18,-30,75,14,1879,41,71,8,8,1251,33,21
-45,6,20,25,25,1816,40,82,9,19,1194,68,25
10,19,-25,10,9,3333,62,63,12,7,2621,44,83
-20,8,-30,55,18,5157,53,61,6,13,2978,38,32
25,14,0,25,24,4578,44,77,10,24,5893,70,60
-10,6,20,60,20,2728,61,62,6,18,2854,56,37
-40,3,30,55,17,4343,10,77,6,18,3452,96,4
40,14,-15,60,14,2098,43,67,11,18,2386,73,41
35,17,-30,65,19,4257,42,82,5,12,3893,34,35
0,9,0,30,24,1545,31,78,3,11,1564,25,32
-10,4,-30,0,23,4823,78,55,8,35,3176,99,100
35,17,0,90,12,3679,78,62,12,13,4744,58,34
45,18,-25,45,27,1199,62,85,7,19,1338,47,79
50,14,-10,40,15,1081,53,71,8,15,1419,59,74
5,19,-5,25,24,5558,19,58,7,13,5534,22,22
-10,8,-10,80,27,1197,64,67,8,24,981,58,24
35,12,30,85,16,2991,63,85,9,18,5167,85,32
5,12,-5,40,14,4804,17,60,4,7,4580,22,16
50,20,15,95,14,2268,38,52,10,13,4037,37,14
0,7,10,95,21,3232,54,61,12,30,3544,96,13
45,18,-5,100,12,4944,71,52,9,12,6523,39,22
5,18,5,35,17,4028,28,78,3,5,4380,14,29
30,7,20,25,16,3234,47,57,6,18,4816,62,64
-40,15,20,60,16,5096,63,56,8,6,3530,18,26
-5,15,-25,60,13,817,74,80,5,6,580,24,50
-30,9,10,80,15,3351,63,60,5,7,2657,23,19
15,13,-10,35,17,5717,46,67,3,7,5828,17,53
35,5,-30,75,9,933,76,83,7,16,863,96,49
-35,8,0,90,22,2339,14,84,7,12,1591,47,3
20,17,5,95,25,4004,54,64,3,9,5009,14,16
15,6,-20,60,12,3476,65,63,4,10,3275,49,52
-10,3,5,70,26,898,43,79,9,52,869,100,23
-45,10,-5,20,28,1491,46,83,6,11,791,28,28
-20,20,0,10,17,2773,16,78,8,7,2254,24,16
40,4,10,50,17,2401,30,54,9,42,3726,100,34
-35,20,-20,15,15,5724,77,71,7,5,3015,16,61
30,7,-15,15,20,4374,41,68,6,23,4602,76,66
-50,7,-10,45,9,3128,58,68,10,6,1390,47,26
0,19,30,35,24,5368,54,58,12,17,6784,38,53
25,2,-10,75,8,2704,28,80,4,16,2893,100,19
40,5,20,60,28,5426,30,61,8,53,8679,100,28
0,17,30,30,24,2385,33,71,8,13,3142,33,35
15,2,5,85,16,5726,44,58,4,31,7031,96,18
-30,19,-10,85,22,2150,37,56,6,7,1327,12,10
40,17,-15,0,24,3156,52,68,9,23,3797,52,100
5,16,-30,55,26,1825,43,56,9,18,1297,33,32
-30,19,10,10,27,2500,66,76,8,10,2014,22,57
-15,14,10,45,9,5133,31,52,4,3,4894,13,24
50,13,20,20,10,733,55,83,10,12,1352,100,91
-20,9,0,35,17,5592,45,77,4,8,4380,26,34
5,1,-20,15,21,5620,73,81,7,88,4632,100,95
10,10,5,90,13,5309,49,77,12,15,5860,100,17
15,12,25,0,11,3977,52,67,5,7,5624,33,86
-35,11,15,90,23,2169,21,52,4,7,1582,12,4
-15,20,10,90,22,3132,46,83,4,6,2942,15,13
-10,10,0,15,24,2609,17,57,6,16,2252,31,19
0,13,15,50,26,3968,36,82,12,24,4477,73,29
-20,17,-10,25,14,5656,30,66,4,4,4183,12,25
-45,3,20,20,22,575,54,67,6,20,393,72,33
20,13,20,90,8,2029,16,75,11,9,2837,77,6
15,20,-15,40,15,633,51,74,5,7,595,22,53
5,7,-25,15,19,2257,61,84,12,30,1718,98,78
-35,17,5,70,15,4635,59,69,12,8,3220,31,22
30,6,-25,50,21,5423,76,81,12,43,5348,100,76
50,2,25,45,12,2058,70,56,11,59,4041,100,86
25,18,-10,5,10,4175,59,57,6,6,4590,25,100
-25,9,-20,40,20,2641,46,70,7,13,1521,40,32
10,20,25,40,25,4197,44,85,7,13,5533,34,43
-5,20,20,55,27,4623,25,56,4,8,5233,11,19
20,10,15,85,16,4069,16,74,11,20,5745,100,7
25,14,-25,55,11,4595,76,70,7,8,4504,43,68
10,12,10,15,13,1936,35,64,12,14,2270,71,46
0,14,30,90,26,956,17,69,8,18,1206,39,5
-35,18,-20,55,8,5259,23,73,5,2,2661,13,11
-5,10,-25,60,17,1215,74,85,12,17,885,100,47
40,10,-15,95,11,2124,17,62,9,14,2650,81,6
50,8,0,20,18,2876,62,72,8,28,4480,100,100
25,15,15,25,22,5052,42,82,8,19,7184,53,59
-5,2,15,65,12,2462,58,70,7,26,2812,100,33
10,6,-20,15,21,2634,23,67,8,28,2341,100,30
-20,7,-5,40,16,1695,55,69,6,11,1288,45,39
30,16,10,5,27,3598,68,50,9,24,5161,36,99
-50,3,30,85,9,2200,55,53,7,8,1484,62,10
-15,8,0,10,15,2626,13,71,10,15,2338,75,14
0,4,-15,0,12,5643,29,51,3,10,4685,39,40
-25,2,-15,65,24,1338,32,78,12,61,834,100,15
-30,5,-25,65,17,4740,55,66,6,15,2450,53,24
15,9,-5,50,11,4409,68,82,11,15,4779,99,64
-25,2,-30,95,11,642,63,54,11,28,328,96,12
-10,15,25,100,22,2354,63,61,9,14,2654,34,11
-35,12,10,65,22,2719,11,53,7,10,1995,21,4
-30,11,25,50,25,1735,77,71,12,20,1531,52,42
50,11,-25,40,19,3299,54,59,4,14,3530,31,75
-25,18,25,60,19,2867,31,58,6,7,2810,15,16
5,1,-15,20,10,2225,67,75,3,22,2034,97,81
-40,2,5,85,17,2971,64,54,9,28,1917,100,15
15,18,-10,20,26,4032,44,74,7,14,4375,34,61
10,18,30,5,13,5845,30,73,12,11,8772,54,43
35,10,0,70,18,1273,74,57,10,23,1652,75,54
20,8,20,85,16,1348,48,73,8,19,1978,87,23
-40,5,-10,95,24,3447,28,79,10,24,1840,95,4
30,13,-10,5,9,2933,67,61,3,4,3596,18,100
-30,19,-30,0,18,4923,32,82,9,7,2520,27,31
-40,9,-5,70,11,4061,13,80,8,6,2253,43,4
-50,18,-25,70,18,5894,14,84,3,3,2192,7,4
-50,16,15,100,18,810,53,54,5,4,445,8,5
-45,6,30,20,8,2679,52,74,11,7,1844,78,34
50,11,-15,65,28,5570,38,78,12,44,6828,100,35
-40,16,-30,25,14,1318,32,78,4,3,566,12,20
0,16,25,65,13,2223,78,62,4,5,2723,16,50
5,18,20,80,9,718,21,74,11,7,863,49,10
-15,11,10,25,20,4170,66,68,5,10,3710,25,64
-15,9,15,85,17,3901,38,59,4,8,3630,21,13
-25,4,-20,75,11,3323,25,79,12,18,2070,100,9
50,17,-20,45,22,5296,42,61,4,12,6568,22,54
10,9,-15,50,16,5203,18,58,5,12,5029,36,16
-15,13,-25,35,20,1959,33,79,3,6,1249,15,28
45,17,10,35,10,2797,20,65,5,6,4673,27,29
50,5,-5,50,13,5298,79,68,3,14,7907,61,99
20,4,10,25,13,3061,13,56,12,35,4046,100,18
-25,16,15,95,14,1879,61,60,6,5,1561,17,12
0,8,15,55,20,2548,61,81,12,27,3066,98,44
0,1,25,60,10,2352,36,72,6,36,2992,97,25
-30,9,10,40,13,4388,27,54,8,8,3349,35,17
30,10,-25,70,10,4619,44,58,8,11,4465,61,32
-45,15,5,90,9,661,71,82,11,4,388,33,12
-45,8,20,15,9,3054,71,66,8,5,1917,37,47
40,1,-20,35,28,675,70,66,7,159,743,98,99
-50,14,15,80,19,528,14,52,10,8,311,19,3
5,17,-10,75,28,3234,50,81,11,21,3000,53,27
-25,16,30,50,17,3231,15,52,5,6,3188,12,9
-45,20,-20,35,28,3080,20,82,12,10,1385,28,11
45,6,-15,95,19,5308,18,75,4,22,6257,76,7
40,14,-5,15,16,4346,36,55,11,20,6028,64,60
-5,5,-15,10,19,2060,42,65,7,23,1698,90,53
40,5,-20,75,14,3947,37,82,5,21,4293,98,27
-30,15,-30,20,25,535,34,60,7,10,263,21,28
0,6,-25,0,24,5342,20,55,4,19,4014,36,28
30,12,25,85,18,3118,26,71,5,13,4827,38,12
35,15,0,15,17,4539,67,84,3,7,6172,22,100
20,8,10,0,19,614,25,71,10,27,803,100,43
50,16,0,10,8,4494,41,74,11,9,6995,76,80
20,1,5,40,16,591,79,85,10,95,770,96,88
45,14,-20,65,16,561,39,51,3,8,630,15,35
-45,3,-10,10,9,5766,59,59,7,9,2787,80,40
-20,19,5,100,18,5166,13,75,9,9,4355,28,2
20,11,-20,40,20,2527,31,70,8,18,2469,60,33
35,11,20,0,9,4037,75,51,4,6,6762,25,100
-45,2,-25,90,16,4337,15,57,11,29,1860,100,3
40,8,10,35,22,3802,69,78,6,26,6017,79,96
-45,4,-10,20,12,3370,28,51,5,8,1658,34,18
-40,15,-10,35,26,3384,20,57,5,7,1740,11,12
30,18,-25,45,13,5905,78,62,4,6,5676,17,91
-45,8,25,70,9,2539,58,85,5,4,1694,28,18
-15,17,15,15,24,1464,66,57,6,10,1420,17,70
20,13,-5,70,18,1509,13,51,8,16,1724,40,9
10,8,25,60,14,1774,40,77,4,9,2522,40,30
0,5,-10,45,19,611,71,84,8,25,577,98,62
50,4,-5,100,19,5063,57,76,5,33,7394,99,18
-5,11,30,55,14,1319,21,63,12,14,1683,65,16
25,8,30,100,11,5966,48,50,5,10,9764,39,12
-20,20,15,10,14,1828,19,71,11,7,1719,32,20
50,12,15,80,28,4533,60,84,5,23,8186,54,39
40,5,-30,90,27,1614,56,68,3,26,1639,54,25
40,16,10,45,28,5301,47,85,11,31,7789,84,56
-20,15,-30,65,20,2182,59,69,11,13,1283,40,28
50,19,-25,20,9,1728,43,72,3,4,2000,17,75
-35,3,-15,55,14,4066,77,52,11,24,2273,97,37
-20,14,5,95,26,5953,15,80,11,17,5148,49,3
-40,9,20,15,12,3881,41,82,10,8,2773,57,29
-5,11,-15,15,8,1824,15,76,10,7,1544,66,17
-35,16,-25,75,28,1226,51,81,10,13,573,32,16
-40,5,-15,90,8,1200,66,53,7,6,640,44,13
-15,10,-10,20,23,3667,48,71,5,13,2700,31,45
-15,19,20,65,8,5434,32,50,9,4,5417,21,18
30,5,-30,55,21,902,33,76,11,48,839,100,32
-15,4,30,0,13,3231,22,66,10,21,3582,100,26
5,12,25,10,12,1098,75,77,4,6,1410,27,96
45,3,-20,55,19,4252,22,51,6,47,4877,99,24
-10,1,-25,65,27,4363,60,69,4,62,3060,100,34
40,6,-20,60,11,3173,70,56,7,17,3599,93,66
-20,15,20,25,9,1611,49,72,3,2,1532,12,43
45,8,20,60,8,5878,73,67,12,15,9729,100,71
25,5,30,15,28,2277,74,74,12,68,3642,95,100
40,3,0,100,24,4400,69,63,4,42,6262,100,20
40,7,0,5,13,2641,52,68,12,27,3614,100,97
40,10,-25,65,25,3935,36,70,3,16,4262,29,30
40,7,30,5,13,558,38,60,10,23,984,99,70
15,9,-10,85,12,3705,40,73,11,17,3848,95,17
-40,10,0,50,24,3193,42,84,7,11,1846,35,21
10,18,10,40,24,4206,25,76,3,8,4916,14,24
-45,19,20,85,22,3881,42,61,10,8,2434,18,9
10,8,-5,5,23,4335,80,59,3,13,4578,25,100
45,8,-20,100,13,5795,68,53,8,19,6829,80,20
-30,19,-20,65,13,1688,47,72,6,4,974,16,20
-40,17,-30,55,20,1799,45,79,9,8,726,25,19
0,16,10,90,9,3594,27,85,10,6,3974,51,9
-5,20,-15,25,22,3873,51,60,8,11,3234,23,55
35,4,30,60,24,2075,62,84,7,49,3794,100,56
-10,3,-30,30,14,2332,28,74,4,15,1464,92,26
20,14,-15,20,19,3570,18,73,8,15,3634,50,25
45,2,-15,0,18,673,50,58,7,63,852,95,100
-50,5,-15,70,13,1083,14,53,9,10,442,47,4
35,10,10,45,23,3519,67,65,10,32,5165,89,75
5,1,-10,60,16,1968,72,61,9,74,1909,95,52
-50,5,15,80,26,5360,64,60,11,24,3059,65,14
-20,11,-25,35,13,1808,49,54,12,11,1086,46,38
15,17,5,95,18,858,75,85,8,12,1067,46,23
-45,1,30,10,15,1144,69,64,9,39,856,100,50
-45,17,10,80,25,4978,59,73,11,10,2893,25,14
-20,19,10,10,27,3223,36,57,11,16,2734,27,37
-35,2,20,20,12,3131,79,53,7,19,2492,100,60
-35,14,30,70,27,1315,48,81,5,9,1090,19,18
10,20,-10,60,13,1664,71,73,3,4,1689,12,55
30,16,-10,65,18,4750,68,64,12,19,5654,62,54
-35,9,10,35,24,5345,11,70,12,19,3875,58,7
-50,8,-10,40,20,1244,68,66,7,9,549,28,30
-25,12,-15,70,28,3520,20,61,3,8,2304,11,8
20,18,-25,30,28,1526,62,60,12,25,1403,47,75
40,14,-10,15,23,3021,51,52,4,13,3680,20,83
25,4,15,90,19,4398,28,58,3,18,6611,54,11
-45,17,-10,80,24,908,29,75,10,9,453,23,7
-40,2,-10,75,16,2090,67,57,5,18,1114,87,20
35,1,5,5,10,4350,18,63,7,51,6059,100,34
-25,18,-30,80,19,4689,46,70,4,5,2449,12,15
-25,11,-5,85,8,1801,37,85,3,2,1227,17,11
-10,11,25,75,24,1179,76,53,10,19,1289,43,35
-20,13,20,40,10,525,74,62,6,5,503,24,53
50,11,0,85,8,876,71,68,10,11,1367,95,40
20,1,-5,30,25,4645,32,67,3,65,5328,100,39
0,17,10,70,20,3973,19,84,5,8,4206,24,11
10,17,-15,75,18,2869,60,78,6,10,2641,31,34
-35,14,0,5,10,1767,80,72,10,5,1185,34,69
-30,1,25,0,13,2474,76,65,7,35,2107,97,72
10,11,-15,15,23,923,49,51,12,28,838,59,65
50,15,5,85,21,1086,42,52,9,21,1735,49,23
-5,18,30,80,19,3662,60,56,6,8,4593,17,25
-35,20,30,45,13,2774,28,62,6,4,2431,12,16
-15,14,-5,50,28,1044,68,55,3,8,831,10,46
-30,7,-10,20,28,3994,27,50,9,24,2523,45,21
35,11,-30,5,10,1328,15,82,5,8,1246,51,27
25,4,5,95,12,3496,57,56,9,26,4765,100,19
-30,15,-30,45,13,906,36,60,8,6,451,21,22
-15,18,-25,90,16,2789,21,51,8,8,1856,19,6
15,19,20,45,28,2668,42,76,8,18,3611,37,42
10,12,-30,40,23,2098,29,77,9,20,1604,62,28
-10,19,5,20,20,4382,19,72,11,11,3975,38,21
-10,5,0,35,26,5064,32,50,8,33,4726,71,28
20,2,5,0,28,5528,45,80,3,46,6648,100,78
30,7,-5,45,28,3432,34,60,6,31,4306,69,39
15,10,25,20,22,3101,75,53,10,25,4251,62,100
10,10,-5,15,15,4923,79,52,7,13,5138,40,100
30,5,5,50,13,699,68,59,6,19,973,90,68
20,5,5,60,11,5645,15,61,6,15,6992,90,12
-25,18,10,60,16,3072,33,58,10,8,2567,23,16
15,3,25,0,18,3369,40,57,6,33,4908,100,64
-40,20,-15,5,19,5697,80,79,9,7,2922,21,67
-35,5,-15,5,8,5935,56,81,10,8,3425,100,50
10,19,25,15,13,3390,46,72,10,9,4552,42,64
50,16,-15,20,17,2261,53,60,4,10,2755,24,94
5,14,5,45,23,3372,69,75,6,13,3884,36,62
-5,2,-10,100,14,1231,54,58,11,42,1022,100,10
-25,10,0,75,8,5860,73,57,9,6,4573,38,28
-50,2,-15,55,10,5978,16,62,9,14,2436,95,6
5,12,-25,35,26,5381,78,60,7,18,4221,37,84
5,8,-25,50,22,1461,31,59,4,14,1130,30,27
-40,10,5,100,24,3000,55,79,8,12,1968,40,7
25,16,10,65,20,5191,40,50,7,13,7255,28,31
-15,6,10,30,27,771,38,61,4,18,718,34,33
-20,4,10,60,15,4442,50,56,12,25,3998,95,27
45,9,-5,55,18,913,24,66,7,21,1270,72,27
-15,2,15,50,22,2742,15,85,3,24,2675,100,10
5,11,15,30,26,2597,27,56,4,13,3010,21,28
10,2,30,10,28,3365,58,71,5,56,4741,96,79
